strategy,attempt,score,population_survived,gdp_preserved,infection_control,resource_efficiency,time_to_containment
Aggressive Lockdown,1,0.7518,0.9991,0.13475935828877006,0.9909,0.584098902078888,0.9287671232876712
Aggressive Lockdown,2,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Aggressive Lockdown,3,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Aggressive Lockdown,4,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Aggressive Lockdown,5,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Balanced Approach,1,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Balanced Approach,2,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Balanced Approach,3,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Balanced Approach,4,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Balanced Approach,5,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Economy Focused,1,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Economy Focused,2,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Economy Focused,3,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Economy Focused,4,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
Economy Focused,5,0.5877,0.9991,0.0,1.0,0.5867699071084951,0.0
